Method_FQDN;#debug;#elif;#elifdef;#elifndef;#else;#if;#ifdef;#ifndef;#mdebug;NoDi;NoFE
xtermcap.loadTermcapStrings;0;0;0;0;1;0;1;1;0;3;1
cachedGCs.setCgsFore;0;0;0;0;0;0;0;0;0;0;0
print.setPrinterControlMode;0;0;0;0;0;0;0;0;0;0;0
resize.resize_timeout;0;0;0;0;0;0;0;0;0;0;0
scrollbar.ShowScrollLock;0;0;0;0;0;0;0;0;0;0;0
menu.HandleBackarrow;0;0;0;0;0;0;0;0;0;0;0
misc.hide_tek_window;0;0;0;0;0;0;0;0;0;0;0
menu.do_vtonoff;0;0;0;0;0;0;0;0;0;0;0
xutf8.l1utf8copy;0;0;0;0;0;0;0;0;0;0;0
util.makeColorPair;0;0;0;0;0;0;0;0;0;0;0
button.DisownSelection;0;0;0;0;0;0;0;0;0;0;0
scrollbar.ResizeScrollBar;0;0;0;0;1;0;1;0;0;2;1
cursor.CarriageReturn;0;0;0;0;0;0;0;0;0;0;0
menu.do_sun_fkeys;0;0;0;0;0;0;0;0;0;0;0
Tekproc.Tinput;0;0;0;0;4;0;5;0;0;9;1
trace.TraceResizeRequest;0;0;0;0;0;0;0;0;0;0;0
misc.HandleInterpret;0;0;0;0;0;0;0;0;0;0;0
menu.do_altscreen;0;0;0;0;0;0;0;0;0;0;0
scrollback.deleteScrollback;0;0;0;0;0;0;0;0;0;0;0
print.charToPrinter;0;0;0;0;1;2;0;0;0;3;1
menu.do_old_fkeys;0;0;0;0;0;0;0;0;0;0;0
misc.ManipulateSelectionData;0;0;0;0;0;0;0;0;0;0;0
misc.xtermShowPointer;0;0;0;0;0;1;0;0;0;1;1
util.extract_bg;0;0;0;0;0;0;0;0;0;0;0
ptydata.skipPtyData;0;0;0;0;0;0;0;0;0;0;0
charproc.set_character_class;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnFillRectangle;0;0;0;0;0;1;0;0;0;1;1
misc.HandleKeyPressed;0;0;0;0;0;0;0;0;0;0;0
xstrings.x_skip_nonblanks;0;0;0;0;0;0;0;0;0;0;0
charproc.RequestResize;0;0;0;0;0;0;0;2;0;2;1
menu.update_scrollbar;0;0;0;0;0;0;0;0;0;0;0
misc.HandleDeIconify;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnRefresh;0;0;0;0;0;8;1;0;0;9;3
button.ClearSelectionBuffer;0;0;0;0;0;0;0;0;0;0;0
menu.set_tekfont_menu_item;0;0;0;0;0;0;0;0;0;0;0
misc.ResetColorsRequest;0;0;0;0;0;1;0;0;0;1;1
misc.xtermDisplayCursor;0;0;0;0;0;0;0;0;0;0;0
menu.do_bellIsUrgent;0;0;0;0;0;0;0;0;0;0;0
fontutils.dec2ucs;0;0;0;0;0;0;0;0;0;0;0
menu.HandleScrollbar;0;0;0;0;0;0;0;0;0;0;0
os2main.opencons;0;0;0;0;0;0;0;0;0;0;0
menu.do_tektextlarge;0;0;0;0;0;0;0;0;0;0;0
xstrings.x_nonempty;0;0;0;0;0;0;0;0;0;0;0
charproc.PreeditPosition;0;0;0;0;0;0;0;0;0;0;0
fontutils.checkXft;0;0;0;0;0;0;0;0;0;0;0
util.ucs_workaround;0;0;0;0;0;0;0;0;0;0;0
charproc.one_if_default;0;0;0;0;0;0;0;0;0;0;0
xtermcap.xtermcapString;0;0;0;0;0;0;0;0;0;0;0
menu.Handle8BitControl;0;0;0;0;0;0;0;0;0;0;0
charproc.xim_destroy_cb;0;0;0;0;0;0;0;0;0;0;0
misc.QueryMaximize;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermLoadWideFonts;0;0;0;0;0;0;0;0;0;0;0
menu.update_meta_esc;0;0;0;0;0;0;0;0;0;0;0
misc.timestamp_filename;0;0;0;0;0;0;0;0;0;0;0
linedata.newCellData;0;0;0;0;0;0;0;0;0;0;0
main.E2A;0;0;0;0;0;0;0;0;0;0;0
button.ResizeSelection;0;0;0;0;0;0;0;0;0;0;0
charproc.set_max_col;0;0;0;0;0;0;0;0;0;0;0
menu.do_tekshow;0;0;0;0;0;0;0;0;0;0;0
button.CutBuffer;0;0;0;0;0;0;0;0;0;0;0
button.TrackMouse;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekRefresh;0;0;0;0;0;0;0;0;0;0;0
button.HandleSelectStart;0;0;0;0;0;1;0;0;0;1;1
screen.ScrnDeleteLine;0;0;0;0;1;3;0;0;0;4;2
cursor.CursorUp;0;0;0;0;0;0;0;0;0;0;0
menu.HandleCursorBlink;0;0;0;0;0;0;0;0;0;0;0
main.ConvertConsoleSelection;0;0;0;0;0;0;0;0;0;0;0
screen.traceScrnBuf;0;0;0;0;0;0;0;0;0;0;0
misc.xtermIsPrintable;0;0;0;0;0;2;0;0;0;2;1
charproc.zero_if_default;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.newCache;0;0;0;0;0;4;0;0;0;4;1
vms.CloseDown;0;0;0;0;0;0;0;0;0;0;0
os2main.DeleteWindow;0;0;0;0;0;1;0;0;0;1;1
misc.parse_decdld;0;0;0;0;0;0;0;0;0;0;0
input.VTInitModifiers;0;0;0;0;0;1;3;0;0;4;2
misc.FlushLog;0;0;0;0;0;0;1;0;0;1;1
cursor.CursorPrevLine;0;0;0;0;0;0;0;0;0;0;0
misc.dabbrev_prev_word;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekPage;0;0;0;0;0;0;0;0;0;0;0
button.do_start_extend;0;0;0;0;0;3;0;0;0;3;1
input.stripAction;0;0;0;0;0;0;0;0;0;0;0
input.xtermHasTranslation;0;0;0;0;0;0;0;0;0;0;0
util.getXftColor;0;0;0;0;0;0;0;0;0;0;0
main.disableSetUid;0;0;0;0;0;0;0;0;0;0;0
charproc.ParseList;0;0;0;0;0;0;0;0;0;0;0
button.InitLocatorFilter;0;0;0;0;0;0;0;0;0;0;0
menu.update_vttekmode;0;0;0;0;0;0;0;0;0;0;0
charproc.select_charset;0;0;0;0;0;0;0;0;0;0;0
os2main.get_pty;0;0;0;0;0;0;0;0;0;0;0
charproc.set_cursor_gcs;0;0;0;0;0;0;0;0;0;0;0
screen.extractScrnData;0;0;0;0;0;0;0;0;0;0;0
misc.xtermFindShell;0;0;0;0;0;0;0;0;0;0;0
print.closePrinter;0;0;0;0;1;0;2;0;0;3;1
charproc.savemodes;0;0;0;0;0;4;1;0;0;5;2
misc.SysError;0;0;0;0;0;0;0;0;0;0;0
main.first_map_occurred;0;0;0;0;0;0;0;0;0;0;0
input.scofuncvalue;0;0;0;0;1;1;1;0;0;3;2
.SetCharacterClassRange;0;0;0;0;0;0;0;0;0;0;0
main.pty_search;0;0;0;0;1;1;1;0;0;3;2
menu.do_clearsavedlines;0;0;0;0;0;0;0;0;0;0;0
input.IsControlOutput;0;0;0;0;0;0;0;0;0;0;0
menu.do_delete_del;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.getCgsFont;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermDrawBoxChar;0;0;0;0;0;2;0;0;0;2;1
menu.do_allowTcapOps;0;0;0;0;0;0;0;0;0;0;0
ptydata.readPtyData;0;0;0;0;3;3;2;0;0;8;3
charproc.VTGraphicsOrNoExpose;0;0;0;0;0;0;0;0;0;0;0
xtermcap.keyIsDistinct;0;0;0;0;0;1;0;0;0;1;1
menu.obtain_menu;0;0;0;0;0;0;0;0;0;0;0
main.qsetlogin;0;0;0;0;0;0;0;0;0;0;0
vms.mbx_read;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekRun;0;0;0;0;0;0;0;0;0;0;0
fontutils.lookupFontSizes;0;0;0;0;0;0;0;0;0;0;0
main.Version;0;0;0;0;0;0;0;0;0;0;0
main.KeyboardMapping;0;0;0;0;0;0;0;0;0;0;0
trace.TraceWMSizeHints;0;0;0;0;0;0;0;0;0;0;0
menu.do_keepSelection;0;0;0;0;0;0;0;0;0;0;0
util.ClearBelow;0;0;0;0;0;0;0;0;0;0;0
tabs.TabReset;0;0;0;0;0;0;0;0;0;0;0
input.filterAltMeta;0;0;0;0;0;0;0;0;0;0;0
scrollbar.HandleScrollLock;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekInit;0;0;0;0;0;2;0;0;0;2;1
ptydata.decodeUtf8;0;0;0;0;0;2;0;0;0;2;2
fontutils.useFaceSizes;0;0;0;0;0;0;0;0;0;0;0
charproc.HandleKeymapChange;0;0;0;0;0;0;0;0;0;0;0
util.scrolling_copy_area;0;0;0;0;0;0;0;0;0;0;0
menu.handle_vtshow;0;0;0;0;0;0;0;0;0;0;0
fontutils.lookupOneFontSize;0;0;0;0;0;0;0;0;0;0;0
button.SendLocatorPosition;0;0;0;0;0;0;0;0;0;0;0
button.SelectionDone;0;0;0;0;0;0;0;0;0;0;0
button.LoseSelection;0;0;0;0;0;0;0;0;0;0;0
menu.HandleAllowFontOps;0;0;0;0;0;0;0;0;0;0;0
fontutils.check_fontname;0;0;0;0;0;0;0;0;0;0;0
menu.HandleMetaEsc;0;0;0;0;0;0;0;0;0;0;0
screen.scrnHeadSize;0;0;0;0;0;1;0;0;0;1;1
main.resize_termcap;0;0;0;0;0;0;0;1;0;1;1
cachedGCs.getCgsFore;0;0;0;0;0;0;0;0;0;0;0
menu.HandleAllowTcapOps;0;0;0;0;0;0;0;0;0;0;0
menu.handle_tekshow;0;0;0;0;0;0;0;0;0;0;0
main.find_utmp;0;0;0;0;0;1;0;0;0;1;1
xtermcap.get_tcap_buffer;0;0;0;0;0;1;0;0;0;1;1
menu.HandleSetSelect;0;0;0;0;0;0;0;0;0;0;0
scrollback.getScrollback;0;0;0;0;0;0;0;0;0;0;0
xtermcap.set_termcap;0;0;0;0;1;2;0;0;0;3;2
charproc.restoremodes;0;0;0;0;0;4;2;0;0;6;2
button.ResetSelectionState;0;0;0;0;0;0;0;0;0;0;0
misc.set_tek_visibility;0;0;0;0;0;1;0;0;0;1;1
Tekproc.TekRealize;0;0;0;0;0;0;0;1;0;1;1
util.init_keyboard_type;0;0;0;0;0;0;0;0;0;0;0
input.hpfuncvalue;0;0;0;0;1;1;2;0;0;4;2
os2main.hungtty;0;0;0;0;0;0;0;0;0;0;0
misc.SysReasonMsg;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSendSignal;0;0;0;0;0;0;2;0;0;2;1
main.parse_tty_modes;0;0;0;0;0;0;0;0;0;0;0
ptydata.initPtyData;0;0;0;0;0;0;0;0;0;0;0
scrollbar.ScrollBarDrawThumb;0;0;0;0;0;0;0;0;0;0;0
doublechr.xterm_DECSWL;0;0;0;0;0;1;0;0;0;1;1
screen.unsaveEditBufLines;0;0;0;0;1;1;0;0;0;2;1
charproc.HandleStructNotify;0;0;0;0;1;3;0;0;0;4;2
vms.tt_read_ast;0;0;0;0;0;0;0;0;0;0;0
resize.readstring;0;0;0;0;2;3;0;0;0;5;2
cachedGCs.myDrawable;0;0;0;0;0;0;0;0;0;0;0
screen.ScrnInsertLine;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_doublesize;0;0;0;0;0;0;0;0;0;0;0
misc.sortedOptDescs;0;0;0;0;0;0;1;0;0;1;1
menu.do_tekreset;0;0;0;0;0;0;0;0;0;0;0
menu.update_menu_allowWindowOps;0;0;0;0;0;0;0;0;0;0;0
menu.do_vtfont;0;0;0;0;0;0;0;0;0;0;0
scrollbar.DoResizeScreen;0;0;0;0;0;2;0;2;0;4;2
vms.trnlnm;0;0;0;0;0;0;0;0;0;0;0
charproc.SGR_Foreground;0;0;0;0;0;0;1;0;0;1;1
fontutils.xtermFreeFontInfo;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.tracePixel;0;0;0;0;1;4;0;0;0;5;1
menu.update_num_lock;0;0;0;0;0;0;0;0;0;0;0
menu.do_hangup;0;0;0;0;0;0;0;0;0;0;0
fontutils.compatibleWideCounts;0;0;0;0;0;0;0;0;0;0;0
linedata.getLineData;0;0;0;0;1;3;0;0;0;4;2
charclass.noleaks_CharacterClass;0;0;0;0;0;0;0;0;0;0;0
misc.xt_error;0;0;0;0;0;0;0;0;0;0;0
charproc.property_to_string;0;0;0;0;0;1;0;0;0;1;1
menu.update_menu_allowFontOps;0;0;0;0;0;0;0;0;0;0;0
menu.do_allowTitleOps;0;0;0;0;0;0;0;0;0;0;0
util.ClearInLine2;0;0;0;0;0;0;0;0;0;0;0
menu.do_reversewrap;0;0;0;0;0;0;0;0;0;0;0
input.AdjustAfterInput;0;0;0;0;0;0;0;0;0;0;0
main.DeleteWindow;0;0;0;0;0;1;0;0;0;1;1
input.decfuncvalue;0;0;0;0;0;0;3;0;0;3;1
charproc.FromAlternate;0;0;0;0;0;1;0;0;0;1;1
charproc.v_write;0;0;0;0;2;1;8;0;0;11;2
misc.do_dcs;0;1;0;0;0;3;0;0;0;4;1
trace.visibleXError;0;0;0;0;0;0;0;0;0;0;0
button.HandleInsertSelection;0;0;0;0;0;1;0;0;0;1;1
button.AppendStrToSelectionBuffer;0;0;0;0;0;0;0;0;0;0;0
util.isDefaultBackground;0;0;0;0;0;0;0;0;0;0;0
util.ClearInLine;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermSaveFontInfo;0;0;0;0;0;0;0;0;0;0;0
print.send_CharSet;0;0;0;0;1;1;0;0;0;2;1
menu.update_decbkm;0;0;0;0;0;0;0;0;0;0;0
button.parseItem;0;0;0;0;0;0;0;0;0;0;0
misc.dabbrev_prev_char;0;0;0;0;0;0;0;0;0;0;0
charproc.window_ops;0;0;0;0;0;3;0;0;0;3;1
menu.HandleMarginBell;0;0;0;0;0;0;0;0;0;0;0
fontutils.derive_font_name;0;0;0;0;0;0;0;0;0;0;0
ptydata.writePtyData;0;0;0;0;0;0;0;0;0;0;0
cachedGCs.relinkData;0;0;0;0;0;0;0;0;0;0;0
scrollbar.HandleScrollBack;0;0;0;0;0;0;0;0;0;0;0
util.recolor_cursor;0;0;0;0;0;0;0;0;0;0;0
button.alloc8bitTargets;0;0;0;0;0;0;1;0;0;1;1
trace.visibleIChar;0;0;0;0;0;1;0;0;0;1;1
menu.do_scrollbar;0;0;0;0;0;0;0;0;0;0;0
print.xtermPrintEverything;0;0;0;0;0;0;0;0;0;0;0
screen.ClearBufRows;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermSpecialFont;0;0;0;0;0;2;0;0;0;2;1
Tekproc.TekSimulatePageButton;0;0;0;0;0;0;0;0;0;0;0
fontutils.lookupRelativeFontSize;0;0;0;0;0;1;0;0;0;1;1
cachedGCs.setCgsCSet;0;0;0;0;0;0;0;0;0;0;0
charproc.VTNonMaskableEvent;0;0;0;0;0;0;0;0;0;0;0
screen.ReallocateBufOffsets;0;0;0;0;0;1;0;0;0;1;1
main.HsSysError;0;0;0;0;0;0;0;0;0;0;0
print.printCursorLine;0;0;0;0;0;0;0;0;0;0;0
fontutils.xtermXftMissing;0;0;0;0;1;1;0;0;0;2;1
util.ReverseVideo;0;0;0;0;0;3;0;1;0;4;2
misc.HandleFocusChange;0;0;0;0;0;1;0;0;0;1;1
resize.onintr;0;1;0;0;1;0;1;0;0;3;2
menu.HandleTekPage;0;0;0;0;0;0;0;0;0;0;0
menu.update_font_boxchars;0;0;0;0;0;0;0;0;0;0;0
misc.selectwindow;0;0;0;0;0;1;0;0;0;1;1
doublechr.xterm_DECDWL;0;0;0;0;0;1;0;0;0;1;1
button.UTF8toLatin1;0;0;0;0;0;0;0;0;0;0;0
util.ClearAbove;0;0;0;0;0;0;0;0;0;0;0
fontutils.wide_font_name;0;0;0;0;0;0;0;0;0;0;0
menu.HandleSetPopOnBell;0;0;0;0;0;0;0;0;0;0;0
doublechr.xterm_DoubleGC;0;0;0;0;0;0;0;0;0;0;0
os2main.closecons;0;0;0;0;0;0;0;0;0;0;0
Tekproc.TekEnqMouse;0;0;0;0;0;0;0;0;0;0;0
menu.do_kill;0;0;0;0;0;0;0;0;0;0;0
main.ParseSccn;0;0;0;0;0;0;0;0;0;0;0
menu.HandleFontDoublesize;0;0;0;0;0;0;0;0;0;0;0
button.xtermUtf8ToTextList;0;0;0;0;0;0;0;0;0;0;0
charproc.xim_real_init;0;0;0;0;0;1;0;0;0;1;1
misc.cmp_resources;0;0;0;0;0;0;0;0;0;0;0
xtermcap.free_termcap;0;0;0;0;0;0;0;0;0;0;0
charproc.get_icon_label;0;0;0;0;0;0;0;0;0;0;0
